,Question,Answer
0,كم عدد سور القرآن الكريم؟, 114
1,في أي الأيام خلق سيدنا آدم عليه السلام؟, يوم الجمعة
2,كم عدد السنوات التي نام فيها أهل الكهف؟, 309 سنوات
3,اسم أول صحابي قرأ القرآن جهرة؟, عبد الله بن مسعود
4,من هي أخر زوجات النبي التي توفيت؟, السيدة أم سلمة
5,سورة قصيرة من قرأها ثلاثا فكأنما قرأ كل القرآن؟, سورة الإخلاص
6,كم مرة حج محمد رسول الله عليه الصلاة والسلام؟, مرة واحدة
7,ما هي غزوة الفرقان؟, غزوة بدر
8,ما هي السورة التي تسمى بقلب القرآن؟, سورة يس
9,في أي عام تم فرض فريضة الصيام؟, العام الثاني من الهجرة
10,كم كان عمر النبي محمد صلى الله عليه وسلم عندما توفيت أمه؟, 5 سنوات
11,ما هي أطول سورة في القرآن الكريم؟, سورة البقرة
12,الشهر الثالث في التقويم الهجري؟, ربيع الأول
13,ما السورة التي ختمت باسم وقت من أوقات الصلاة؟, سورة القدر
14,كم عدد التكبيرات في الركعة الأولى في صلاة العيد؟, سبعة
15,في أي جهة يقع باب الكعبة المشرفة؟, في الجهة الشرقية من الكعبة
16,كم عدد مصارف الزكاة؟, ثمانية
17,كم مرة ذكرت السيدة مريم في القرآن الكريم؟, 34 مرة
18,قال تعالى في سورة العاديات: ( فالمغيرات صبحا (3)) ماالمقصود بالمغيرات؟, الخيل
19,ما هي أعظم آية في القرآن الكريم؟, آية الكرسي
20,أحد هؤلاء الصحابة من العشرة المبشرين بالجنة؟, سعد بن أبي وقاص
21,في أي سنة هجرية كانت غزوة أحد؟, السنة الثالثة للهجرة
22,من هي النصرانية التي أسلمت ثم تزوجها النبي صلى الله عليه وسلم؟, مارية القبطية
23,من هو النبي الذي أرسل الى قوم ثمود؟, صالح
24,ما عدد أحزاب القرآن الكريم؟, 60 حزبا
25,قال تعالى في سورة المدثر: (والرجز فاهجر (5)) ما المقصود بالرجز؟, الأوثان
26,قال تعالى: (والصافات صفا * فالزاجرات زجرا) ما المقصود بالزاجرات؟, الملائكة
27,من هو الصحابي الذي كانت تستحي منه ملائكة السماء؟, عثمان بن عفان
28,ما اسم السورة التي تنتهي آياتها بحرف السين؟, الناس
29,كم عدد السور التي ابتدأت بالحروف المقطعة (الم), ستة سور
30,ما هو عدد حملة العرش يوم القيامة والمذكورين في القرآن الكريم؟, ثمانية
31,أين ذكرت الآية الكريمة: ( وما آتاكم الرسول فخذوه وما نهاكم عنه فانتهوا)؟, سورة الحشر
32,ما هي السورة التي يطلق عليها أم الكتاب؟, سورة الفاتحة
33,كم شخص اشترك في قتل ناقة النبي صالح عليه السلام؟, تسعة أشخاص
34,من الذي لقب الرسول الكريم بالطيب المطيب؟, عمار بن ياسر
35,في أي سورة وردت الآية: (يمحق الله الربا ويربي الصدقات والله لا يحب كل كفار أثيم)؟, البقرة
36,في أي سورة وردت الآية التالية (ولبثوا في كهفهم ثلاث مئة سنين وازدادوا تسعا)؟, سورة الكهف
37,من هو النبي الذي دعا ربه (توفني مسلما وألحقني بالصالحين)؟, يوسف عليه السلام
38,ما هي الرادفة؟, النفخة الثانية في البوق
39,السورة التي ابتدأت بالحرفين المقطعين (طس)؟, سورة النمل
40,ما هي السورة التي تسمى سورة التوديع؟, سورة النصر
41,الشهر الثامن في التقويم الهجري؟, شعبان
42,كم عدد السور التي افتتحت بثلاثة أحرف؟, 13 سورة
43,كم عدد آيات سورة البقرة؟, 286 آية
44,من أسماء الخيل التي ذكرت في القرآن الكريم؟, العاديات
45,كم عدد القراءات الصحيحة للقرآن الكريم؟, 10 قراءات
46,كم مرة اعتمر النبي صلى الله عليه وسلم؟, أربع عمرات
47,ما اسم أخو يوسف عليه السلام من أمه وأبيه؟, بنيامين
48,قام أحدهم بمبادلة صاع من القمح الجيد بصاعين من القمح الرديء لشخص آخر ما حكم هذه المبادلة؟, ربا الفضل
49,في أي عام هجري وقعت غزوة خيبر؟, 7 هجري
50,كم عدد الأنبياء الذين ذكروا في سورة الأنبياء؟, 16 نبي
