Question,Answer
1- ما أول ما نزل من التوراة ؟,     بسم الله الرحمن الرحيم .
2ـ ما أول هدية أهديت إلى الرسول صلى الله عليه وسلم بالمدينة ؟ ,     قصعة خبزاً وسمناً ولبناً وهي هدية من زيد بن حارثة .
3ـ من أول من قُتل من المشركين في غزوة بدر الكبرى ؟ ,     الأسود بن عبد الأسد المخزومي والذي قتله حمزة بن عبد المطلب .
4ـ من هي أول امرأة بكر هاجرت ؟ ,     أم كلثوم بنت عقبة بن أبي معيط .
5ـ من أول من صام ؟ ,     آدم عليه السلام .. صام ثلاثة أيام في كل شهر .
6ـ ما أول ما تكلم به رسول الله صلى الله عليه وسلم حين قدم المدينة ؟ ,"     "" صلوا الأرحام ، وصلوا والناس نيام تدخلوا الجنة بسلام "" ."
7ـ من أول من صنف تفسير القرآن الكريم بالإسناد ؟ ,     مالك بن انس .
8ـ من أول من هاجر من المسلمين إلى الحبشة ؟ ,     حاطب بن عمرو .
9ـ من أول من لبس السروال ؟ ,     إبراهيم عليه السلام .
10ـ من أول من قاتل بالسيف ؟ ,     إبراهيم الخليل عليه السلام .
11ـ من أول من سمي أحمد ؟ ,     هو رسول الله صلى الله عليه وسلم ، ولم يسم أحمد قبله .
12ـ من أول من ولي بيت المال ؟ ,     أبو عبيدة بن الجراح .
13ـ ما أول جبل وضع في الأرض ؟ ,     جبل أبي قبيس بمكة .
14ـ من أول من ألف في أحكام القرآن ؟ ,     الإمام الشافعي رضي الله عنه .
15ـ من أول داعية إسلامي ؟ ,     مصعب بن عمير .
16ـ من أول من أضاف اسم الله إلى اسمه من الخلفاء ؟ ,     المعتصم .. فقيل المعتصم بالله .
17ـ من أول من فتق لسانه بالعربية ؟ ,     إسماعيل عليه السلام وهو ابن أربع عشرة سنة .
18ـ من أول من طاف بالبيت العتيق ؟ ,     الملائكة .
19ـ من أول من قال الشعر؟ ,     آدم عليه السلام .
20ـ من أول من استلم الحجر الأسود من الأئمة ؟ ,     ابن الزبير .
21ـ ما أول سورة نزلت في مكة المكرمة ؟ ,     سورة العلق .
22ـ من أول من اتخذ الدفاتر للدولة ؟ ,     يوسف عليه السلام .
23ـ من أول من يفيق بعد النفخ في الصور ؟ ,     الرسول صلى الله عليه وسلم .
24ـ من أول أمير في الإسلام ؟ ,     عبد الله بن جحش الأسدي .
25ـ من أول من نقض العهد مع الرسول صلى الله عليه وسلم من القبائل اليهودية ؟,
يهود بني قينقاع .,
26ـ من أول من كتب لا إله إلا الله محمد رسول الله على العملة ؟ ,     الحجاج بن يوسف الثقفي .
27ـ ما أول دار بنيت في مكة ؟ ,     دار الندوة .
28ـ من أول من أدخل عبادة الأصنام ؟ ,     أبو خزاعة عمرو بن لحي .
29ـ من أول من سل سيف في سبيل الله ؟ ,     الزبير بن العوام .
30ـ من أول ملك فرعوني آمن بالتوحيد ؟ ,     اخناتون .
31ـ من أول جبار في الأرض لعنه الله ؟ ,     النمرود .
32ـ من أول مسلم ركب بحر الروم ؟ ,     معاوية بن أبي سفيان .
33ـ من أول من قال أما بعد ؟ ,     نبي الله داود عليه السلام .
34ـ من أول قاضي في البصرة ؟ ,     أبو مريم الحنفي .
35ـ من أول قاضي في الكوفة ؟ ,     جبير بن القشعم .
36ـ من أول قاضي في مصر ؟ ,     قيس بن أبي العاص .
37ـ من أول من عمل الأوزان ؟ ,     الحجاج بن يوسف الثقفي .
38ـ من أول من أمر بتجويف المحاريب ؟ ,     الوليد بن عبد الملك .
39ـ من أول من فرش المسجد بالحصبة ؟ ,     عمر بن الخطاب .
40ـ ما أول جيش خرج من المدينة بعد وفاة الرسول صلى الله عليه وسلم ؟ ,     جيش سلمة بن الزبير .
41ـ من أول من تمنى الموت ؟ ,     يوسف عليه السلام .
42ـ ما أول صلاة فرضت على الرسول صلى الله عليه وسلم ؟ ,     صلاة الظهر .
43ـ من أول من أذن في السماء ؟ ,    جبريل عليه السلام .
44ـ من أول من قدر الساعات الاثنى عشرة ؟ ,     نوح عليه السلام في السفينة ليعرف مواقيت الصلاة .
45ـ من أول من قال سبحان ربي الأعلى ؟ ,     إسرافيل عليه السلام .
46ـ من أول من أظهر التوحيد بمكة ؟ ,     قس بن ساعدة ـ ورقة بن نوفل .
47ـ ما أول شيء بناه الله ؟ ,     السماء .
48ـ ما أول ما كتب القلم ؟ ,     أنا التواب أتوب على من تاب .
49ـ ما أول يوم خلقهالله ؟ ,     يوم الأحد .
50ـ من أول من بنى السجون في الاسلام ؟ ,    علي بن أبي طالب رضي الله عنه .
51ـ من هم القضاة العرب ؟ ,     أبو بكر ، عمربن الخطاب ، عبدالله ابن مسعود ، أبو موسى الأشعري  .
52ـ من هم الدهاة الأربعة ؟ ,     معاوية ، عمرو ، المغيرة ، زياد رضي الله عنهم .
53ـ من هو الصحابي الذي كانت الملائكة تسلم عليه ؟ ,     عمران بن حصين رضي الله عنه .
54ـ من هو الذي كان تستحي منه ملائكة السماء ؟ ,     عثمان بن عفان رضي الله عنه .
55ـ ماهو ثاني مسجد صلى النبي صلى الله عليه وسلم فيه الجمعة ؟ ,     مسجد جواثا .
56ـ أين ماتت أم الرسول صلى الله عليه وسلم ؟ ,     في الابواء : بين مكة والمدينة وهي عائدة من عند أهلها .
57ـ كم دامت سنوات خلافة كلاً من: أبو بكر ، عمر، عثمان، علي رضي الله عنهم ؟,
أبو بكر سنتين ، عمر عشر سنوات ، عثمان اثنا عشر ، علي ست سنوات,
58ـ ما المسجد الذي استشهد فيه علي بن أبي طالب رضي الله عنه ؟ ,     مسجد الكوفة .
59ـ من الذي لقبه الرسول الكريم بالطيب المطيب ؟ ,     عمار بن ياسر .
60ـ ما هو الحج الأصغر ؟ ,     العمرة . 
62ـ ما أعظم سورة في القرآن الكريم ؟ ,     الفاتحة .
63ـ ماهي السورة التي لا تحوي حرف الميم ؟ ,     سورة الكوثر .
64ـ كم عدد من قتل من المسلمين في غزوة مؤتة ؟ ,     12
65ـ من هو الصحابي المستجاب الدعاء ؟ ,     سعد بن أبي وقاص رضي الله عنه .
66ـ ما هي السورة التي تسمى سورة المنافقين ؟ ,     التوبة .
67ـ كم عدد السور التي افتتحت بثلاث أحرف ؟ ,     13 سورة .
68ـ كم عدد المواضع التي اقسم الله بنفسه في القرآن ؟ ,     سبعة مواضع .
69ـ في أي الغزوات أسرت الشيماء أخت الرسول صلى الله عليه وسلم من الرضاعة ؟ ,     في غزوة حنين .
70ـ من أسد الله ؟ ,     حمزة بن عبد المطلب .
71ـ من الذي اهتز لموته عرش الرحمن ؟ ,     سعد بن معاذ رضي الله عنه .
72ـ من هو النجاشي ؟ ,"     مصحمه "" أصحم "" ومعناه بالعربية عطيه ."
73ـ من هي المجادلة ومن زوجها ؟ ,     خولة بنت ثعلبة زوجها أوس .
74ـ من كبير المنافقين في الإسلام ؟ ,     عبدالله بن أبي ويعرف بأبن سلول سيد الخزرج في المدينة .
75ـ من هم الثلاثة الذين تخلفوا عن غزوة تبوك ؟ ,     كعب بن مالك ، مرارة بن الربيع ، هلال بن أمية .
76ـ على من يطلق لقب ابن الذبيحين ؟ ,     على الرسول صلى الله عليه وسلم .
77ـ كم عدد أبواب النار ؟ ,     سبعة أبواب ما منهن ( بابان ) إلا يسير الراكب بينهما 70 عاما .
78ـ كم عدد الأنبياء ؟ ,     1.124000 مائة ألف وأربعة وعشرون ألفاً .
79ـ من الغلام الذي كان يرافق السيدة خديجة قبل ان تتزوج الرسول صلى الله ,     عليه وسلم ؟ 
80ـ من هم الأنصار ؟ ,     هم الخزرج وهي قبيلة عربية من الأزد .
81ـ أين يوجد قبر النبي هود ؟ ,     في حضر موت .
82ـ ما أخر سورة نزلت كاملة ؟ ,     المدثر محاطة بسبعين ملك .
83ـ من هي أم المؤمنين الصوامة القوامة ؟ ,     حفصة بنت عمر .
84ـ من الذي افتداه الرسول صلى الله عليه وسلم بأبويه يوم أحد ؟ ,     سعد بن أبي وقاص رضي الله عنه .
85ـ كم عدد الملائكة الذين قاتلوا مع الرسول صلى الله عليه وسلم والمسلمين في ,     بدر ؟ 
86ـ أين تقع الأعراف ؟ ,     بين الجنة والنار .
87ـ ما اسم امرأة لوط ؟ ,     والهة .
88ـ ما اسم امرأة نوح ؟ ,     والغة .
89ـ من قاتل الحسين في كربلاء ؟ ,     عمر بن سعد بن أبي وقاص .
90ـ ما اسم والدة مريم العذراء ؟ ,     حنة .
91ـ كم عدد غزوات النبي صلى الله عليه وسلم ؟ ,     27 غزوة .
92ـ ما هو أول مسجد في الإسلام ؟ ,     مسجد قباء .
93ـ ما هو ثاني مسجد في الإسلام ؟ ,     المسجد النبوي .
94ـ من هي الصحابية التي استطاعت أن تخلص أخوها من الأسر ؟ ,     خولة بنت الأزور .
95ـ في أي سنة حج النبي صلى الله عليه وسلم حجة الوداع ؟ ,     في السنة العاشرة .
96ـ كم عدد الرسل الذين ذكروا في القرآن ؟ ,     25.
97ـ ما هو يوم السبع ؟ ,     يوم القيامة .
98ـ من الذي أودي مزمار من مزامير آل داود ؟ ,     أبو موسى الأشعري رضي الله عنه .
99ـ ما هما المدينتان اللتان أطلق عليهما القريتان ؟ ,     مكة والطائف في سورة الزخرف .
100ـ اين توفي بلال ؟ ,     في دمشق .
