,Question
0,كم عدد سور القرآن الكريم؟
1,في أي الأيام خلق سيدنا آدم عليه السلام؟
2,كم عدد السنوات التي نام فيها أهل الكهف؟
3,اسم أول صحابي قرأ القرآن جهرة؟
4,من هي أخر زوجات النبي التي توفيت؟
5,سورة قصيرة من قرأها ثلاثا فكأنما قرأ كل القرآن؟
6,كم مرة حج محمد رسول الله عليه الصلاة والسلام؟
7,ما هي غزوة الفرقان؟
8,ما هي السورة التي تسمى بقلب القرآن؟
9,في أي عام تم فرض فريضة الصيام؟
10,كم كان عمر النبي محمد صلى الله عليه وسلم عندما توفيت أمه؟
11,ما هي أطول سورة في القرآن الكريم؟
12,الشهر الثالث في التقويم الهجري؟
13,ما السورة التي ختمت باسم وقت من أوقات الصلاة؟
14,كم عدد التكبيرات في الركعة الأولى في صلاة العيد؟
15,في أي جهة يقع باب الكعبة المشرفة؟
16,كم عدد مصارف الزكاة؟
17,كم مرة ذكرت السيدة مريم في القرآن الكريم؟
18,قال تعالى في سورة العاديات: ( فالمغيرات صبحا (3)) ماالمقصود بالمغيرات؟
19,ما هي أعظم آية في القرآن الكريم؟
20,أحد هؤلاء الصحابة من العشرة المبشرين بالجنة؟
21,في أي سنة هجرية كانت غزوة أحد؟
22,من هي النصرانية التي أسلمت ثم تزوجها النبي صلى الله عليه وسلم؟
23,من هو النبي الذي أرسل الى قوم ثمود؟
24,ما عدد أحزاب القرآن الكريم؟
25,قال تعالى في سورة المدثر: (والرجز فاهجر (5)) ما المقصود بالرجز؟
26,قال تعالى: (والصافات صفا * فالزاجرات زجرا) ما المقصود بالزاجرات؟
27,من هو الصحابي الذي كانت تستحي منه ملائكة السماء؟
28,ما اسم السورة التي تنتهي آياتها بحرف السين؟
29,كم عدد السور التي ابتدأت بالحروف المقطعة (الم)
30,ما هو عدد حملة العرش يوم القيامة والمذكورين في القرآن الكريم؟
31,أين ذكرت الآية الكريمة: ( وما آتاكم الرسول فخذوه وما نهاكم عنه فانتهوا)؟
32,ما هي السورة التي يطلق عليها أم الكتاب؟
33,كم شخص اشترك في قتل ناقة النبي صالح عليه السلام؟
34,من الذي لقب الرسول الكريم بالطيب المطيب؟
35,في أي سورة وردت الآية: (يمحق الله الربا ويربي الصدقات والله لا يحب كل كفار أثيم)؟
36,في أي سورة وردت الآية التالية (ولبثوا في كهفهم ثلاث مئة سنين وازدادوا تسعا)؟
37,من هو النبي الذي دعا ربه (توفني مسلما وألحقني بالصالحين)؟
38,ما هي الرادفة؟
